x,y,theta,v,x_ref,y_ref,theta_ref
3.053522,2.341282,3.730182,1.000000,0.782172,4.938442,2.984513
3.011936,2.313522,3.762845,1.000000,0.704506,4.950118,3.000221
2.971278,2.284420,3.795499,1.000000,0.626666,4.960574,3.015929
2.931593,2.254005,3.828145,1.000000,0.548672,4.969805,3.031637
2.892921,2.222311,3.860782,1.000000,0.470542,4.977810,3.047345
2.855304,2.189373,3.893410,1.000000,0.392295,4.984587,3.063053
2.818781,2.155224,3.926030,1.000000,0.313953,4.990134,3.078761
2.783392,2.119903,3.958641,1.000000,0.235532,4.994449,3.094469
2.749173,2.083447,3.991243,1.000000,0.157054,4.997533,3.110177
2.716161,2.045894,4.023836,1.000000,0.078537,4.999383,3.125885
2.684390,2.007286,4.056421,1.000000,0.000000,5.000000,3.141593
2.653894,1.967663,4.088998,1.000000,-0.078537,4.999383,3.157301
2.624704,1.927068,4.121565,1.000000,-0.157054,4.997533,3.173009
2.596852,1.885544,4.154124,1.000000,-0.235532,4.994449,3.188717
2.570366,1.843135,4.186675,1.000000,-0.313953,4.990134,3.204425
2.545275,1.799887,4.219217,1.000000,-0.392295,4.984587,3.220132
2.521603,1.755845,4.251750,1.000000,-0.470542,4.977810,3.235840
2.499377,1.711056,4.284275,1.000000,-0.548672,4.969805,3.251548
2.478620,1.665569,4.316792,1.000000,-0.626666,4.960574,3.267256
2.459352,1.619430,4.349300,1.000000,-0.704506,4.950118,3.282964
2.441594,1.572690,4.381800,1.000000,-0.782172,4.938442,3.298672
2.425364,1.525398,4.414292,1.000000,-0.859646,4.925547,3.314380
2.410678,1.477603,4.446776,1.000000,-0.936907,4.911436,3.330088
2.397553,1.429356,4.479251,1.000000,-1.013936,4.896114,3.345796
2.386002,1.380709,4.511719,1.000000,-1.090716,4.879584,3.361504
2.376036,1.331712,4.544178,1.000000,-1.167227,4.861850,3.377212
2.367665,1.282418,4.576630,1.000000,-1.243449,4.842916,3.392920
2.360898,1.232878,4.609074,1.000000,-1.319365,4.822787,3.408628
2.355741,1.183145,4.641511,1.000000,-1.394956,4.801468,3.424336
2.352200,1.133270,4.673939,1.000000,-1.470202,4.778965,3.440044
2.350278,1.083307,4.706361,1.000000,-1.545085,4.755283,3.455752
2.349977,1.033308,4.738775,1.000000,-1.619587,4.730427,3.471460
2.351296,0.983325,4.771182,1.000000,-1.693690,4.704404,3.487168
2.354234,0.933412,4.803582,1.000000,-1.767374,4.677220,3.502876
2.358787,0.883620,4.835975,1.000000,-1.840623,4.648882,3.518584
2.364951,0.834001,4.868361,1.000000,-1.913417,4.619398,3.534292
2.372718,0.784608,4.900741,1.000000,-1.985739,4.588773,3.550000
2.382080,0.735492,4.933115,1.000000,-2.057572,4.557016,3.565708
2.393027,0.686705,4.965482,1.000000,-2.128896,4.524135,3.581416
2.405547,0.638298,4.997843,1.000000,-2.199696,4.490138,3.597124
2.419626,0.590321,5.030198,1.000000,-2.269952,4.455033,3.612832
2.435251,0.542825,5.062548,1.000000,-2.339649,4.418828,3.628540
2.452403,0.495859,5.094893,1.000000,-2.408768,4.381533,3.644247
2.471065,0.449473,5.127232,1.000000,-2.477293,4.343158,3.659955
2.491217,0.403714,5.159566,1.000000,-2.545207,4.303710,3.675663
2.512839,0.358630,5.191896,1.000000,-2.612493,4.263201,3.691371
2.535906,0.314269,5.224221,1.000000,-2.679134,4.221640,3.707079
2.560394,0.270677,5.256543,1.000000,-2.745114,4.179037,3.722787
2.586279,0.227898,5.288860,1.000000,-2.810417,4.135403,3.738495
2.613533,0.185979,5.321174,1.000000,-2.875026,4.090749,3.754203
2.642126,0.144962,5.353486,1.000000,-2.938926,4.045085,3.769911
2.672030,0.104890,5.385794,1.000000,-3.002101,3.998423,3.785619
2.703212,0.065804,5.418100,1.000000,-3.064535,3.950775,3.801327
2.735641,0.027747,5.450404,1.000000,-3.126213,3.902152,3.817035
2.769282,-0.009243,5.482707,1.000000,-3.187120,3.852566,3.832743
2.804100,-0.045128,5.515009,1.000000,-3.247240,3.802030,3.848451
2.840059,-0.079869,5.547310,1.000000,-3.306559,3.750555,3.864159
2.877122,-0.113431,5.579612,1.000000,-3.365063,3.698155,3.879867
2.915248,-0.145778,5.611914,1.000000,-3.422736,3.644843,3.895575
2.954400,-0.176877,5.644217,1.000000,-3.479564,3.590631,3.911283
2.994535,-0.206696,5.676522,1.000000,-3.535534,3.535534,3.926991
3.035613,-0.235202,5.708830,1.000000,-3.590631,3.479564,3.942699
3.077590,-0.262367,5.743684,1.000000,-3.644843,3.422736,3.958407
3.120489,-0.288052,5.781599,1.000000,-3.698155,3.365063,3.974115
3.164330,-0.312093,5.820311,1.000000,-3.750555,3.306559,3.989823
3.209068,-0.334419,5.859713,1.000000,-3.802030,3.247240,4.005531
3.254652,-0.354966,5.900160,1.000000,-3.852566,3.187120,4.021239
3.301029,-0.373652,5.940953,1.000000,-3.902152,3.126213,4.036947
3.348129,-0.390432,5.981736,1.000000,-3.950775,3.064535,4.052655
3.395874,-0.405277,6.022765,1.000000,-3.998423,3.002101,4.068362
3.444188,-0.418151,6.063932,1.000000,-4.045085,2.938926,4.084070
3.492991,-0.429026,6.105134,1.000000,-4.090749,2.875026,4.099778
3.542201,-0.437882,6.146327,1.000000,-4.135403,2.810417,4.115486
3.591733,-0.444703,6.187458,1.000000,-4.179037,2.745114,4.131194
3.641505,-0.449482,6.228580,1.000000,-4.221640,2.679134,4.146902
3.691430,-0.452211,6.269548,1.000000,-4.263201,2.612493,4.162610
3.741425,-0.452893,6.310279,1.000000,-4.303710,2.545207,4.178318
3.791407,-0.451539,6.351001,1.000000,-4.343158,2.477293,4.194026
3.841292,-0.448150,6.391406,1.000000,-4.381533,2.408768,4.209734
3.891000,-0.442750,6.431802,1.000000,-4.418828,2.339649,4.225442
3.940448,-0.435346,6.471807,1.000000,-4.455033,2.269952,4.241150
3.989562,-0.425971,6.511803,1.000000,-4.490138,2.199696,4.256858
4.038261,-0.414640,6.551340,1.000000,-4.524135,2.128896,4.272566
4.086474,-0.401392,6.590870,1.000000,-4.557016,2.057572,4.288274
4.134126,-0.386249,6.629881,1.000000,-4.588773,1.985739,4.303982
4.181151,-0.369260,6.668885,1.000000,-4.619398,1.913417,4.319690
4.227477,-0.350449,6.707316,1.000000,-4.648882,1.840623,4.335398
4.273047,-0.329873,6.745741,1.000000,-4.677220,1.767374,4.351106
4.317793,-0.307561,6.784162,1.000000,-4.704404,1.693690,4.366814
4.361649,-0.283547,6.821944,1.000000,-4.730427,1.619587,4.382522
4.404566,-0.257893,6.859721,1.000000,-4.755283,1.545085,4.398230
4.446484,-0.230637,6.896820,1.000000,-4.778965,1.470202,4.413938
4.487362,-0.201845,6.933916,1.000000,-4.801468,1.394956,4.429646
4.527144,-0.171557,6.970298,1.000000,-4.822787,1.319365,4.445354
4.565798,-0.139841,7.006678,1.000000,-4.842916,1.243449,4.461062
4.603273,-0.106741,7.042315,1.000000,-4.861850,1.167227,4.476770
4.639545,-0.072327,7.077950,1.000000,-4.879584,1.090716,4.492477
4.674567,-0.036642,7.112819,1.000000,-4.896114,1.013936,4.508185
4.708325,0.000243,7.147687,1.000000,-4.911436,0.936907,4.523893
4.740775,0.038281,7.181769,1.000000,-4.925547,0.859646,4.539601
4.771911,0.077404,7.215852,1.000000,-4.938442,0.782172,4.555309
4.801696,0.117564,7.249132,1.000000,-4.950118,0.704506,4.571017
4.830128,0.158693,7.282414,1.000000,-4.960574,0.626666,4.586725
4.857176,0.200746,7.314882,1.000000,-4.969805,0.548672,4.602433
4.882844,0.243655,7.347351,1.000000,-4.977810,0.470542,4.618141
4.907105,0.287374,7.378998,1.000000,-4.984587,0.392295,4.633849
4.929972,0.331839,7.410648,1.000000,-4.990134,0.313953,4.649557
