x,y,theta,v,x_ref,y_ref,theta_ref
5.067388,1.666049,2.285657,1.000000,1.619587,4.730427,2.811725
5.034612,1.703809,2.289168,0.000000,1.545085,4.755283,2.827433
5.034612,1.703809,2.289168,1.000000,1.470202,4.778965,2.843141
5.001704,1.741453,2.304245,0.000000,1.394956,4.801468,2.858849
5.001704,1.741453,2.304245,1.000000,1.319365,4.822787,2.874557
4.968232,1.778596,2.316596,0.000000,1.243449,4.842916,2.890265
4.968232,1.778596,2.316596,1.000000,1.167227,4.861850,2.905973
4.934304,1.815323,2.319275,0.000000,1.090716,4.879584,2.921681
4.934304,1.815323,2.319275,1.000000,1.013936,4.896114,2.937389
4.900278,1.851960,2.333925,0.000000,0.936907,4.911436,2.953097
4.900278,1.851960,2.333925,1.000000,0.859646,4.925547,2.968805
4.865719,1.888094,2.346130,0.000000,0.782172,4.938442,2.984513
4.865719,1.888094,2.346130,1.000000,0.704506,4.950118,3.000221
4.830721,1.923803,2.356942,0.000000,0.626666,4.960574,3.015929
4.830721,1.923803,2.356942,1.000000,0.548672,4.969805,3.031637
4.795339,1.959132,2.358868,0.000000,0.470542,4.977810,3.047345
4.795339,1.959132,2.358868,1.000000,0.392295,4.984587,3.063053
4.759890,1.994392,2.373478,0.000000,0.313953,4.990134,3.078761
4.759890,1.994392,2.373478,1.000000,0.235532,4.994449,3.094469
4.723928,2.029132,2.385785,0.000000,0.157054,4.997533,3.110177
4.723928,2.029132,2.385785,1.000000,0.078537,4.999383,3.125885
4.687543,2.063425,2.388786,0.000000,0.000000,5.000000,3.141593
4.687543,2.063425,2.388786,1.000000,-0.078537,4.999383,3.157301
4.651054,2.097610,2.394413,0.000000,-0.157054,4.997533,3.173009
4.651054,2.097610,2.394413,1.000000,-0.235532,4.994449,3.188717
4.614373,2.131588,2.411873,0.000000,-0.313953,4.990134,3.204425
4.614373,2.131588,2.411873,1.000000,-0.392295,4.984587,3.220132
4.577105,2.164922,2.425788,0.000000,-0.470542,4.977810,3.235840
4.577105,2.164922,2.425788,1.000000,-0.548672,4.969805,3.251548
4.539377,2.197733,2.429711,0.000000,-0.626666,4.960574,3.267256
4.539377,2.197733,2.429711,1.000000,-0.704506,4.950118,3.282964
4.501520,2.230396,2.446157,0.000000,-0.782172,4.938442,3.298672
4.501520,2.230396,2.446157,1.000000,-0.859646,4.925547,3.314380
4.463132,2.262432,2.459595,0.000000,-0.936907,4.911436,3.330088
4.463132,2.262432,2.459595,1.000000,-1.013936,4.896114,3.345796
4.424316,2.293949,2.471494,0.000000,-1.090716,4.879584,3.361504
4.424316,2.293949,2.471494,1.000000,-1.167227,4.861850,3.377212
4.385128,2.325002,2.474453,0.000000,-1.243449,4.842916,3.392920
4.385128,2.325002,2.474453,1.000000,-1.319365,4.822787,3.408628
4.345848,2.355939,2.490687,0.000000,-1.394956,4.801468,3.424336
4.345848,2.355939,2.490687,1.000000,-1.470202,4.778965,3.440044
4.306071,2.386235,2.504077,0.000000,-1.545085,4.755283,3.455752
4.306071,2.386235,2.504077,1.000000,-1.619587,4.730427,3.471460
4.265893,2.415995,2.507977,0.000000,-1.693690,4.704404,3.487168
4.265893,2.415995,2.507977,1.000000,-1.767374,4.677220,3.502876
4.225598,2.445598,2.514927,0.000000,-1.840623,4.648882,3.518584
4.225598,2.445598,2.514927,1.000000,-1.913417,4.619398,3.534292
4.185099,2.474920,2.533933,0.000000,-1.985739,4.588773,3.550000
4.185099,2.474920,2.533933,1.000000,-2.057572,4.557016,3.565708
4.144049,2.503468,2.548647,0.000000,-2.128896,4.524135,3.581416
4.144049,2.503468,2.548647,1.000000,-2.199696,4.490138,3.597124
4.102584,2.531408,2.553202,0.000000,-2.269952,4.455033,3.612832
4.102584,2.531408,2.553202,1.000000,-2.339649,4.418828,3.628540
4.060993,2.559159,2.570832,0.000000,-2.408768,4.381533,3.644247
4.060993,2.559159,2.570832,1.000000,-2.477293,4.343158,3.659955
4.018918,2.586173,2.584946,0.000000,-2.545207,4.303710,3.675663
4.018918,2.586173,2.584946,1.000000,-2.612493,4.263201,3.691371
